Page Title,Owner,File Formats,Description,Date Last Updated,License,Update Frequency,Access
Enrolment by grade in secondary schools - Dataset - Ontario Data Catalogue,Education,TXT,"Student enrolment in secondary schools across the province  aggregated by
grade and school board or school authority.","February 24, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Environmental Compliance Reports - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,Every year  the Ministry of the Environment Conservation and Parks publicly releases the Environmental Compliance Report on the Ontario Data Catalogue.,"December 20, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Environmental Occurrences and Spills - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,"This dataset consists of information from reports received by the Spills
Action Centre (SAC). They are generated and completed by SAC following the
initial report of a spill.","December 16, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Environmental Penalty Annual Report - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,XLSX,"The Ministry of the Environment  Conservation and Parks publishes an annual report on environmental penalties issued in the previous calendar year for
certain air  land or water violations. These reports provide information about
environmental penalties issued to companies in one of nine industrial sectors.","March 17, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Estimated value and rental rate of farmland by county and township - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on the estimated value and rental rate per acre of farmland by county and township in Ontario.,"October 6, 2022",Open Government Licence – Ontario,Other,,
Expulsion rates by school board - Dataset - Ontario Data Catalogue,Education,XLSX,Data includes:,"February 13, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Extreme Flow Statistics - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,MDB,"The flood magnitude statistics can be used for applications such as flood
plain delineation and design of hydraulic structures. The drought severity
statistics can be used for applications such as water abstraction and effluent
dilution.","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Family Court Support Worker Program statistical reporting - Dataset - Ontario Data Catalogue,Attorney General,CSV,"The Family Court Support Worker Program provides support to victims of
domestic violence who are involved in the family court process. Services
include:","April 30, 2015",Open Government Licence – Ontario,Weekly,,Ontario
Family Health Team (FHT) locations - Dataset - Ontario Data Catalogue,Health,,"Geographic information about Family Health Teams (FHT) are community-centred
primary care organizations created to provide comprehensive family health care
services across Ontario. FHTs provide primary care services to rural  urban 
and unique populations of patients with both typical and specialized health
needs.","April 5, 2020",Open Government Licence – Ontario,Historical,,Ontario
Far North hydrology and elevation maps - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,These maps are available for the Far North Land Use Planning Area at 2 scales (1:100 000 and 1:250 000). The maps were created as a resource for community-based Land Use Planning in the Far North of Ontario.,"March 30, 2012",Open Government Licence – Ontario,Never,,Ontario
Far North land cover - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This data covers the entire Far North from 2005-2011.,"April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Farm capital in Ontario - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Statistical data on value of farm capital for Ontario.,"May 29, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Farmers’ Markets - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,HTML,This dataset displays the name  website and locations of Ontario Farmers Markets  as derived from the Farmers Markets of Ontario Website.,"July 13, 2022",Open Government Licence – Ontario,As required,,Ontario
Federal funding for housing and homelessness - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,XLSX,"The amount of federal funding provided to Ontario and its communities for
housing and homelessness programs. Funds are itemized by program.","April 30, 2015",Open Government Licence – Ontario,Yearly,,Ontario
Federal protected areas - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,Includes:,"April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Financial Information Return (FIR) - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,CSV,The Financial Information Return (FIR) is the main data collection tool used by the Ministry of Municipal Affairs and Housing to collect financial and statistical information on municipalities. Section 294(1) of the Municipal Act requires that each municipality will annually report on its financial affairs  accounts and transactions in the form of the Financial Information Return.,"July 13, 2021",Open Government Licence – Ontario,Daily,,Ontario
Financial Data: Ontario Provincial Police budget - Dataset - Ontario Data Catalogue,Solicitor General,CSV,This database includes information on operating expenditures by command and cost of salaries and benefits by command.,"August 25, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Ferry services - Dataset - Ontario Data Catalogue,Transportation,KML,"Used within the Travellers Road Information Portal Interactive Map to convey
transportation related information in both official languages. Contains a list
of ferry service locations operated by the Ministry of Transportation within
Ontario.","October 9, 2012",Open Government Licence – Ontario,As required,,Ontario
Fire - potential hazardous forest types for wildland fire - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Hazardous forest types for wildland fire means forest types assessed as being
associated with the risk of high to extreme wildland fire. This data is
intended to help inform where further assessment is required and is to be used
in conjunction with guidance from the Ministry of Natural Resources and
Forestry .","August 22, 2016",Open Government Licence – Ontario,As required,,Ontario
Fire Disturbance Area - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,A Fire Disturbance Area represents the mapped exterior perimeter of a forest fire. Mapping is derived from a variety of sources  such as GPS points and digitized paper  maps. Prior to 1998  only fires greater than 200 hectares were mapped. Since 1998  fires greater than 40 hectares have been mapped. If adequate mapping exists for fires less than 40 hectares in size  they will be included in this data class.,"March 31, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Fire Disturbance Point - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This dataset shows the locations of ignition points for forest fires less than 40 hectares in size. Fires that grow larger than 40 hectares are mapped in the Fire Disturbance Area dataset.,"December 19, 2019",Open Government Licence – Ontario,Yearly,,Ontario
Fire Response Plan Area - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This dataset shows the boundaries of fire response plan areas and provides the recommended response type that corresponds to the official fire response plan for each area. Fire response types include:,,Open Government Licence – Ontario,As required,,Ontario
Fire Weather Sector - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This dataset shows the boundaries of administrative areas used for forest fire weather forecasting. North of the French River  boundaries correspond closely with Environment Canada’s areas for public weather forecasting. South of the French River  25 Environment Canada areas are combined into six larger areas for provincial forecasting.,,Open Government Licence – Ontario,As required,,Ontario
Fire management agreement area - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,Fire management agreements divide land into 4 areas:,"April 30, 2015",Open Government Licence – Ontario,Periodically,,Ontario
Fish Contaminants - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,XLSX,Data on fish contaminants is collected across Ontario. Contaminants are chemicals that could be harmful to environment and human health.  Toxic contaminants can enter in waterbodies in different ways and can accumulate in fish. Contaminants include:,"January 4, 2023",Open Government Licence – Ontario,Biannually,,Ontario
"Fish Culture Operation, Ministry of Natural Resources - Dataset - Ontario Data Catalogue",Natural Resources and Forestry,,"Fish Culture Operation MNR identifies the locations of the Ontario Ministry of
Natural Resources (MNR) fish culture stations (or hatcheries) and sub-
stations. The data set outlines their property boundaries.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Fish ON-Line - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,Fish ON-Line is a mobile fishing tool with information on where to fish in Ontario. It includes information for over 20 000 waterbodies including:,,Open Government Licence – Ontario,As required,,Ontario
Fish activity area - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,The fish activity area data represents the consolidation of two fish data classes collected by the Ministry of Natural Resources and Forestry.,"November 28, 2019",Open Government Licence – Ontario,Periodically,,Ontario
Flood flow statistics - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Statistics include the flood magnitude with the following recurrence
intervals:","August 22, 2016",Open Government Licence – Ontario,As required,,Ontario
Flu Shot Clinics - Dataset - Ontario Data Catalogue,Health,JSON,"The name  location  hours of operation and contact information for flu shot
clinics in the province.","March 10, 2017",Open Government Licence – Ontario,Current,,Ontario
Food availability per capita in Canada - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on the availability of selected food products in Canada.  Data includes the availability of the following types of commodities:,"June 1, 2023",Open Government Licence – Ontario,Yearly,,
"Food store and foodservice industry sales, Ontario and Canada - Dataset - Ontario Data Catalogue",Agriculture  Food and Rural Affairs,XLS,Get statistical data on per capita disappearance of selected fruits and vegetables in Canada.,"July 7, 2019",Open Government Licence – Ontario,As required,,Ontario
Foodland Ontario fruits and vegetables availability guide - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,This dataset includes a list of Ontario fruits and vegetables and the corresponding months that they are available for purchase in Ontario.,"January 23, 2017",Open Government Licence – Ontario,As required,,Ontario
Forest Abiotic Damage Event - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"An abiotic damage event is a non-biological event -- such as wind or an ice
storm -- that has damaged areas of forested land.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Forest Disease Damage Event - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Data show where pathogens - fungal  bacillial or viral - have caused damage by
reducing growth rates  tree vigor or have killed trees.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Forest Insect Damage Event - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,DOCX,"Shows areas where forest insect pests have damaged or killed trees by
defoliation  foliage mining and wood boring.","July 2, 2013",Open Government Licence – Ontario,Other,,Ontario
Forest Management Unit - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Ontario's Crown forest is divided into geographic planning areas  known as
forest management units. Most of these units are managed by individual forest
companies under a Sustainable Forest License.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Forest Miscellaneous Damage Event - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Miscellaneous events are often the result of the cumulative impact of a
combination of abiotic  insect and disease agents or events.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
Forest Resource Inventory Term 2 (T2) 2018-2028 - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,The Forest Resources Inventory (FRI) provides information about tree species  including:,"June 15, 2022",Open Government Licence – Ontario,As required,,
Forest Resources Inventory leaf-on LiDAR - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,"TIFF, LAZ",Single photon lidar light detection and ranging (SPL LiDAR) is an active remote sensing technology for:,"April 10, 2022",Open Government Licence – Ontario,As required,,Ontario’s managed forest zone
Forest Resources of Ontario 2021 - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,CSV,This data is a snapshot of Ontario’s forests using the latest available data.,"November 1, 2020",Open Government Licence – Ontario,Periodically,,Ontario overview - Managed forest zone highlight
Forest genetics zone - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This spatial data identifies breeding zones used by forest managers and forest genetic associations to manage provincial forest genetic assets.,"August 22, 2019",Open Government Licence – Ontario,As required,,Ontario
Forest management annual reporting data - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"The dataset includes both harvest and natural depletions. It also accounts for
silvicultural operations related to:","April 30, 2015",Open Government Licence – Ontario,Other,,Ontario
Forest resources inventory packaged products - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"This dataset covers Forest Resource Inventories between 2001 and 2004. It
includes:","July 31, 2020",Open Government Licence – Ontario,Other,,Ontario
Funding amounts by municipality - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,CSV,To ensure investments are targeted to where they are needed most  funding is allocated based on:,"October 5, 2023",Open Government Licence – Ontario,"October 5, 2023",,
Funding and financial assistance for not-for-profits - Dataset - Ontario Data Catalogue,Public and Business Service Delivery,CSV,Find government funding  loans and other kinds of financial assistance available to not-for-profits.,"April 24, 2023",Open Government Licence – Ontario,https://www.ontario.ca/page/funding-and-financial-assistance-not-profits,,
GO Train stations - Dataset - Ontario Data Catalogue,Transportation,ZIP,"GO Transit is the regional public transit service for the Greater Toronto and
Hamilton Area. This dataset was created as part of the Digital Cartographic
Reference Base (DCRB) for the production of the ORM.","June 29, 2016",Open Government Licence – Ontario,Biannually,,Ontario
Government-wide data inventory - Dataset - Ontario Data Catalogue,Finance,CSV,"The data inventory lists data that is created  collected and managed by the
Government of Ontario  including the title  description and frequency of
update for each dataset. It also shows whether a dataset is open  will become
open  is under review  or is restricted from being open due to reasons
outlined by the Open Data Directive.",,Open Government Licence – Ontario,Other,,Ontario
Grant for Women’s Centres - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,"The Ontario Women's Directorate supports programs in 25 women's centres in
Ontario. These programs help women develop skills and abilities to reduce
their vulnerability to poverty and domestic violence.","April 30, 2015",Open Government Licence – Ontario,Yearly,,Ontario
Grants Ontario: Affordable Housing Information Management System (green information) - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,CSV,"Record level information on various ""green"" initiatives for rental housing
projects  belonging to the Investment in Affordable Housing (IAH) program of
the IA-Extension program. For example  this dataset indicates whether a new
rental housing unit is an energy efficient build. The case number can be
linked back to the Grants Ontario - Affordable Housing Information Management
System dataset for further project information  including funding and
location.","May 2, 2016",Open Government Licence – Ontario,As required,,Ontario
Greenbelt Plan mapping - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,ZIP,"Geographic Information System (GIS) data with the following mapping layers
from the Greenbelt Plan:","January 12, 2023",Open Government Licence – Ontario,As required,,Ontario
Greenbelt designations - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,,There are currently 4 designations:,"December 14, 2022",Open Government Licence – Ontario,As required,,Ontario
Greenbelt hamlets - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,,"Hamlets are smaller settlement areas identified in municipal official plans 
generally without municipal water and sewer servicing.","December 14, 2022",Open Government Licence – Ontario,As required,,Ontario
Greenbelt specialty crop areas - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,,The locations of the 2 specialty crop areas in the Greenbelt Plan:,"December 14, 2022",Open Government Licence – Ontario,As required,,Ontario
Greenbelt towns and villages - Dataset - Ontario Data Catalogue,Municipal Affairs and Housing,,"General information on the location of towns and villages (settlement areas)
in the countryside areas protected by Greenbelt plan. For precise boundaries
and locations of settlement areas  the appropriate municipality should be
consulted.","December 14, 2022",Open Government Licence – Ontario,As required,,Ontario
Greenhouse Gas Emissions by Sector - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,"The data sets show historical greenhouse gas emissions and emission changes
for selected years  in megatonnes of CO2 equivalent. Historical estimates are
based on Environment Canada and Climate Change's National Inventory Reports
(NIR) and are displayed by sector: Transportation  Industry  Buildings 
Electricity  Agriculture and Waste.","November 9, 2016",Open Government Licence – Ontario,As required,,Ontario
Gross domestic product by manufacturing industries - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get data on Ontario gross domestic product (GDP) by manufacturing industries.,"June 30, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Gross domestic product for agri-food sector - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get data on Ontario Gross Domestic Product (GDP) for agri-food Sector.,"June 30, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Gross domestic product for agricultural industries in Ontario - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get data on the Ontario gross domestic product (GDP) for major agricultural industries in Ontario. The GDP is a monetary measure of the value of all the goods and services produced in a period.,"June 30, 2023",Open Government Licence – Ontario,Yearly,,
Hazardous Waste Public Information - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,"This hazardous waste dataset contains spatial information about generators 
carriers and receivers of hazardous and liquid industrial waste. Also contains
the volumes and characterizations of waste generated and transported as
defined by the General Waste Management Regulation 347.","March 27, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Healthy Babies Healthy Children screening statistics - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,Data ranges from 2002 to 2014.,"July 15, 2015",Open Government Licence – Ontario,As required,,Ontario
Healthy Babies Healthy Children service regions - Dataset - Ontario Data Catalogue,Children  Community and Social Services,ZIP,"Ontario's Healthy Babies Healthy Children program helps infants and children
up to age 6 and their families through:","October 15, 2020",Open Government Licence – Ontario,As required,,Ontario
Hearing device vendors - Dataset - Ontario Data Catalogue,Health,CSV,"Find a business that sells hearing devices. 
If you qualify  you can apply to the Assistive Devices Program (ADP) to get help paying for:","October 5, 2023",Open Government Licence – Ontario,Ontario,,Ontario
Historic bathymetry maps - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,WEB,Bathymetry is the measurement of water depth in lakes. From the 1940s to the 1990s  the Ministry of Natural Resources and Forestry produced bathymetry maps for over 11 000 lakes across Ontario.,"July 6, 2004",Open Government Licence – Ontario,Historical,,Ontario
Historical Ontario field crop production by crop - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on the estimated harvested area  yield  production  price and farm value of field crops in Ontario.,"January 31, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Historical fish stocking data - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,Get data on fish stocking records from 1900 - 2012.,,,Yearly,,Ontario
Home oxygen therapy vendors - Dataset - Ontario Data Catalogue,Health,CSV,Find a business that sells home oxygen therapy supplies.,"October 5, 2023",Open Government Licence – Ontario,Ontario,,Ontario
Homicides - Dataset - Ontario Data Catalogue,Solicitor General,CSV,Homicides under the Criminal Code include:,"April 30, 2015",Open Government Licence – Ontario,Never,,Canada
Hospital locations - Dataset - Ontario Data Catalogue,Health,,"Geographical information of hospitals: including public  private and specialty
psychiatric.","April 5, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Households enrolled in Ontario’s Trillium Drug Program - Dataset - Ontario Data Catalogue,Health,CSV,"This dataset includes information on households enrolled in the Trillium Drug
Program aggregated by enrolment history.","February 1, 2019",King's Printer for Ontario,Yearly,,Ontario
In-filled Climate Data - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,MDB,The Ontario in-filled climate data collection includes information from 339 monitoring stations maintained by the Meteorological Service of Canada.,"July 16, 2020",Open Government Licence – Ontario,Other,,Ontario
Incident-based crime rates - Dataset - Ontario Data Catalogue,Solicitor General,CSV,"Includes the number of crimes  whether police have solved the crime and any
charges laid. These statistics also include information about the type of
crimes committed  as well as the characteristics of the victims and accused.","April 30, 2015",Open Government Licence – Ontario,Never,,Canada
Independent Health Facility (IHF) locations - Dataset - Ontario Data Catalogue,Health,,"Geographic information on Independent Health Facility's (IHFs). An IHF 
subject to certain exemptions  is a place in which one or more members of the
public receives health services or a health facility or class of health
facilities designated by the Minster of Health and Long-Term Care.","April 5, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Incidents and closures - Dataset - Ontario Data Catalogue,Transportation,KML,"Used within the Travellers Road Information Portal Interactive Map to convey
transportation related information in both official languages. Contains
locations of road closures and incidents on provincial highways.","October 9, 2012",Open Government Licence – Ontario,Current,,Ontario
Industrial Wastewater Discharges - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,XLSX,"Industrial wastewater monitoring data submitted quarterly to the Ministry of
the Environment. This reporting is required by the Effluent Monitoring and
Effluent Limits (EMEL/MISA) Regulations.","April 11, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Infant Hearing Program regions - Dataset - Ontario Data Catalogue,Children  Community and Social Services,ZIP,"The Infant Hearing Program serves the needs of children who are deaf or hard
of hearing and their families.","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Inland Lakes and Streams – Physical Conditions - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,This data set includes information on sampling locations and physical conditions in lakes and streams across Ontario. It also includes meteorological conditions from monitoring stations in south-central Ontario.,"April 19, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Inland Lakes and Streams – Water Chemistry - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,This data set includes information on water quality of lakes and streams across Ontario since 1976. It includes:,"January 4, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Inland Waters Lakes and Streams – Biological Communities - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,This dataset includes information on biological communities in lakes and streams across Ontario since 1976. Biological communities sampled include:,"May 28, 2021",Open Government Licence – Ontario,Yearly,,Ontario
"The Ontario Climate Data Portal, a user-friendly portal of Ontario-specific climate projections | Scientific Data",,,,,,,,
Ontario Public Drug Programs Exceptional Access Program response times - Dataset - Ontario Data Catalogue,Health,CSV,"This data is aggregated by queue priority and includes information on the
turnaround times and targets for submissions made to the Exceptional Access
Program.","February 1, 2019",King's Printer for Ontario,Yearly,,Ontario
Ontario Public Drug Programs Narcotics Monitoring System data by recipients - Dataset - Ontario Data Catalogue,Health,CSV,"This data is aggregated by age and sex and includes information on the total
number of dispensers monitored by the Narcotics Monitoring System.","February 1, 2019",King's Printer for Ontario,Yearly,,Ontario
Ontario Public Drug Programs Narcotics Monitoring System tracked opioids - Dataset - Ontario Data Catalogue,Health,CSV,This data is aggregated by opioid subcategory and includes:,"February 1, 2019",King's Printer for Ontario,Yearly,,Ontario
Ontario Road Safety Annual Report (ORSAR) - Dataset - Ontario Data Catalogue,Transportation,ZIP,Under the Highway Traffic Act (HTA)  the Ministry of Transportation (MTO) is required to report annually on motor vehicle collision statistics. The Ontario Road Safety Annual Report (ORSAR) is a comprehensive record of road safety statistics. The primary source of data is collision reports provided by police services.,,Open Government Licence – Ontario,Yearly,,Ontario
Ontario Road Network: segment with address - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,DOCX,"The ORN is a provincewide geographic database of over 250 000 kilometres of
municipal roads  provincial highways and resource and recreational roads. The
ORN is the authoritative source of roads data for the Government of Ontario.","April 30, 2015",Open Government Licence – Ontario,Weekly,,Ontario
Ontario Road Network: Road Net Element - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,DOCX,"The ORN is a provincewide geographic database of over 250 000 kilometres of
municipal roads  provincial highways  and resource and recreational roads. The
ORN is the authoritative source of roads data for the Government of Ontario.","April 30, 2015",Open Government Licence – Ontario,Weekly,,Ontario
Ontario Research Funding – Summary - Dataset - Ontario Data Catalogue,Colleges and Universities,CSV,"This data set provides a summary of research projects funded by the Ministry
of Colleges and Universities.","April 20, 2022",Open Government Licence – Ontario,As required,,Ontario
Ontario Trail Network - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,The Ontario Trail Network (OTN) contains geospatial networks of trails in urban  rural and wilderness settings that are managed by a named organization for transportation  recreation  active living or tourism purposes.,"July 12, 2021",Open Government Licence – Ontario,As required,,Ontario
Ontario Tree Seed Transfer Policy data - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,CSV,This highly specialized publication (Ontario Tree Seed Transfer Policy data) is available in English only in accordance with Regulation 671/92  which exempts it from translation under the French Language Services Act. To obtain information in French  please contact the Ministry of Natural Resources and Forestry at (1-800-667-1940).,"September 4, 2020",Open Government Licence – Ontario,As required,,Ontario
Ontario Typical Range Soil Chemistry - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,"Concentration levels from soil sampled in urban and rural parklands in the
province.","April 30, 2015",Open Government Licence – Ontario,Historical,,Ontario
Ontario Watershed Boundaries - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This collection represents the authoritative watershed boundaries for Ontario. The data is based on a framework similar to the Atlas of Canada Fundamental Drainage Areas and the United States Watershed Boundary Dataset  however it adopts a more stringent scientific approach to watershed delineation.,"July 27, 2020",Open Government Licence – Ontario,As required,,Ontario
